filename,name,type,tcds_number,tcds_holder,publication,match_source,matched_model
Aeronca_Champ.json,Aeronca Champ,single_engine,A-759,AERONCA AIRCRAFT CORP,FAA TCDS A-759 (Aeronca 7-series),manual,
Aeronca_Chief.json,Aeronca Chief,single_engine,A-781,AERONCA AIRCRAFT CORP,FAA TCDS A-781 (Aeronca 11-series),manual,
American_Champion_Citabria.json,American Champion Citabria,single_engine,A-759,AMERICAN CHAMPION AIRCRAFT CORP,FAA TCDS A-759 (Champion/Bellanca/ACA 7-series Citabria),manual,
American_Champion_Decathlon.json,American Champion Decathlon,single_engine,A-759,AMERICAN CHAMPION AIRCRAFT CORP,FAA TCDS A-759 (ACA 8KCAB Decathlon),manual,
American_Champion_Scout.json,American Champion Scout,single_engine,A-759,AMERICAN CHAMPION AIRCRAFT CORP,FAA TCDS A-759 (ACA 8GCBC Scout),manual,
Aviat Husky A-1C.json,Aviat Husky A-1C,single_engine,A22NM,Aviat Aircraft Inc,FAA TCDS A22NM Rev 31 (12/07/2017),fuzzy,A-1
Beechcraft_Baron_58.json,Beechcraft Baron 58,multi_engine,3A16,Beechcraft Corporation,FAA TCDS 3A16 Rev 91 (12/21/2015),fuzzy,58
Beechcraft_Bonanza_A36.json,Beechcraft Bonanza A36,single_engine,3A15,TEXTRON AVIATION INC.,FAA TCDS 3A15 (Beechcraft A36/B36TC Bonanza),manual,
Beechcraft_Bonanza_F33.json,Beechcraft Bonanza F33,single_engine,3A15,TEXTRON AVIATION INC.,FAA TCDS 3A15 (Beechcraft F33/F33A Bonanza),manual,
Beechcraft_Musketeer.json,Beechcraft Musketeer,single_engine,A12CE,TEXTRON AVIATION INC.,FAA TCDS A12CE (Beechcraft 19/23/24 Sport/Musketeer),manual,
Beechcraft_Sierra.json,Beechcraft Sierra,single_engine,A12CE,TEXTRON AVIATION INC.,FAA TCDS A12CE Rev (Beechcraft C24R Sierra),manual,
Beechcraft_Sundowner.json,Beechcraft Sundowner,single_engine,A12CE,TEXTRON AVIATION INC.,FAA TCDS A12CE Rev (Beechcraft C23 Sundowner),manual,
Bellanca_Super_Viking.json,Bellanca Super Viking,single_engine,A00003AK,ALEXANDRIA AIRCRAFT LLC (BELLANCA),FAA TCDS A00003AK (Bellanca 17-30 Super Viking),manual,
CAP_232.json,CAP 232,single_engine,EASA.A.072,MUDRY AVIATION (CAP AVIATION),EASA TCDS A.072 (Mudry CAP 21/231/232),manual,
Cessna_150.json,Cessna 150,single_engine,3A19,Cessna Aircraft Company,FAA TCDS 3A19 Rev 40 (11/15/1997),fuzzy,150
Cessna_152.json,Cessna 152,single_engine,3A19,Cessna Aircraft Company,FAA TCDS 3A19 Rev 40 (11/15/1997),fuzzy,152
Cessna_162.json,Cessna 162,single_engine,n/a,CESSNA / TEXTRON AVIATION,ASTM F2245 (LSA) + Cessna 162 POH (2010),manual,
Cessna_172M.json,Cessna 172M,single_engine,3A12,Cessna Aircraft Company,FAA TCDS 3A12 Rev 75 (12/21/2007),fuzzy,172M
Cessna_172N.json,Cessna 172N,single_engine,3A12,Cessna Aircraft Company,FAA TCDS 3A12 Rev 75 (12/21/2007),fuzzy,172N
Cessna_172P.json,Cessna 172P,single_engine,3A12,Cessna Aircraft Company,FAA TCDS 3A12 Rev 75 (12/21/2007),fuzzy,172P
Cessna_172R.json,Cessna 172R,single_engine,3A12,Cessna Aircraft Company,FAA TCDS 3A12 Rev 75 (12/21/2007),fuzzy,172R
Cessna_172S.json,Cessna 172S,single_engine,3A12,Cessna Aircraft Company,FAA TCDS 3A12 Rev 75 (12/21/2007),fuzzy,172S
Cessna_177.json,Cessna 177,single_engine,A13CE,Cessna Aircraft Company,FAA TCDS A13CE Rev 28 (11/16/2010),fuzzy,177
Cessna_177RG.json,Cessna 177RG,single_engine,A20CE,Textron Aviation Inc.,FAA TCDS A20CE Rev 24 (10/31/2024),fuzzy,177RG
Cessna_182P.json,Cessna 182P,single_engine,3A13,Cessna Aircraft Company,FAA TCDS 3A13 Rev 68 (12/28/2007),fuzzy,182P
Cessna_182Q.json,Cessna 182Q,single_engine,3A13,Cessna Aircraft Company,FAA TCDS 3A13 Rev 68 (12/28/2007),fuzzy,182Q
Cessna_182T.json,Cessna 182T,single_engine,3A13,Cessna Aircraft Company,FAA TCDS 3A13 Rev 68 (12/28/2007),fuzzy,182T
Cessna_206.json,Cessna 206,single_engine,H2SW,Bell Helicopter Textron A Division of Textron Canada,FAA TCDS H2SW Rev 38 (11/22/1999),fuzzy,206
Cessna_210.json,Cessna 210,single_engine,3A21,TEXTRON AVIATION INC.,FAA TCDS 3A21 (Cessna 205/206/207/210),manual,
Cessna_310R.json,Cessna 310R,multi_engine,3A10,Cessna Aircraft Company,FAA TCDS 3A10 Rev 61 (11/15/1997),fuzzy,310R
Champion_7EC.json,Champion 7EC,single_engine,A-759,American Champion Aircraft Corp.,FAA TCDS A-759 Rev 72 (10/19/2009),fuzzy,7EC
Cirrus_SR20.json,Cirrus SR20,single_engine,A00009CH,Cirrus Design Corporation,FAA TCDS A00009CH Rev 18 (12/29/2011),fuzzy,SR20
Cirrus_SR22.json,Cirrus SR22,single_engine,A00009CH,Cirrus Design Corporation,FAA TCDS A00009CH Rev 18 (12/29/2011),fuzzy,SR22
Cirrus_SR22T.json,Cirrus SR22T,single_engine,A00009CH,Cirrus Design Corporation,FAA TCDS A00009CH Rev 18 (12/29/2011),fuzzy,SR22T
Diamond_DA20-A1.json,Diamond DA20-A1,single_engine,TA4CH,Diamond Aircraft Industries,FAA TCDS TA4CH Rev 10 (10/24/2002),fuzzy,DA20-A1
Diamond_DA20-C1.json,Diamond DA20-C1,single_engine,TA4CH,Diamond Aircraft Industries,FAA TCDS TA4CH Rev 10 (10/24/2002),fuzzy,DA20-C1
Diamond_DA40-180.json,Diamond DA40-180,single_engine,A47CE,DIAMOND AIRCRAFT INDUSTRIES,FAA TCDS A47CE (Diamond DA-40 series),manual,
